MODULE	NODE	P	FDR	N.mod	N.neigh	N.obsrv	N.expct	MEMBER	FILL	FOLD
KEGG_VIRAL_MYOCARDITIS	IL2RG	5.57030020900006e-30	3.06893431785044e-28	58	479	24	2.50943907506097	FALSE	0.0501043841336117	9.56389028867612
KEGG_TYPE_I_DIABETES_MELLITUS,..	FPR3	6.78366420553116e-30	3.68759986212674e-28	47	219	18	0.92972631198627	FALSE	0.0821917808219178	19.3605362867969
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	CCR2	1.47580888449416e-29	7.91693792379299e-28	38	329	18	1.12925661638515	FALSE	0.0547112462006079	15.9396896496561
KEGG_TYPE_I_DIABETES_MELLITUS,..	VCAM1	2.38460297623751e-29	1.26260082261303e-27	47	273	18	1.15897389576371	FALSE	0.0659340659340659	15.5309796586392
KEGG_PRIMARY_IMMUNODEFICIENCY	ITK	2.59275547392279e-29	1.35521334194657e-27	32	439	18	1.26890073164122	FALSE	0.041002277904328	14.185506833713
KEGG_VIRAL_MYOCARDITIS	IFI27	2.78611341142152e-29	1.43784612384374e-27	58	223	18	1.16827748170897	FALSE	0.0807174887892377	15.407298592856
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	GZMB	3.11722978024948e-29	1.58861822675964e-27	38	380	18	1.3043085538795	FALSE	0.0473684210526316	13.8004155124654
KEGG_TYPE_I_DIABETES_MELLITUS,..	TRAF1	3.29589657167483e-29	1.64144574011342e-27	47	333	18	1.41369343329419	FALSE	0.0540540540540541	12.7326049453709
KEGG_TYPE_I_DIABETES_MELLITUS,..	CD247	3.3014115940471e-29	1.64144574011342e-27	47	312	18	1.32454159515852	FALSE	0.0576923076923077	13.5896072013093
KEGG_TYPE_I_DIABETES_MELLITUS,..	TARP	3.71957396939935e-29	1.82707265942665e-27	47	323	18	1.37124017703911	FALSE	0.0557275541795666	13.1268032408932
KEGG_VIRAL_MYOCARDITIS	GYPC	4.04661123815624e-29	1.96405166880512e-27	58	310	19	1.62406286694969	FALSE	0.0612903225806452	11.6990545050056
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	GPR65	5.16719801940174e-29	2.47843133236481e-27	38	456	18	1.56517026465541	FALSE	0.0394736842105263	11.5003462603878
KEGG_TYPE_I_DIABETES_MELLITUS,..	VAV1	7.41974377395598e-29	3.5174762053975e-27	47	351	18	1.49010929455334	FALSE	0.0512820512820513	12.0796508456083
KEGG_HEMATOPOIETIC_CELL_LINEAGE	SERPINA1	1.16865631123404e-28	5.47656526540365e-27	76	417	24	2.86261403667239	FALSE	0.0575539568345324	8.38394547519879
KEGG_TYPE_I_DIABETES_MELLITUS,..	BST2	1.35050659396933e-28	6.25683566319655e-27	47	383	20	1.6259597145696	FALSE	0.0522193211488251	12.3004277540137
KEGG_TYPE_I_DIABETES_MELLITUS,..	MAP4K1	1.68860549053026e-28	7.73533099426052e-27	47	344	18	1.46039201517478	FALSE	0.0523255813953488	12.3254576942108
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	DOCK2	1.95143187073164e-28	8.83998637441434e-27	38	430	18	1.4759281004426	FALSE	0.0418604651162791	12.1957160342717
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	PRF1	3.42277109243474e-28	1.53347667514906e-26	38	395	18	1.35579441784843	FALSE	0.0455696202531646	13.2763491005996
KEGG_HEMATOPOIETIC_CELL_LINEAGE	BIN2	4.2268617939065e-28	1.87314299279965e-26	76	428	25	2.93812663716015	FALSE	0.058411214953271	8.50882316773241
KEGG_TYPE_I_DIABETES_MELLITUS,..	IL15RA	4.42981740319631e-28	1.94197479062703e-26	47	334	18	1.4179387589197	FALSE	0.0538922155688623	12.6944833736782
KEGG_TYPE_I_DIABETES_MELLITUS,..	CD37	4.7621854689647e-28	2.06547129329458e-26	47	569	23	2.4155902809141	FALSE	0.0404217926186292	9.52148225703923
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	HLA-A	5.78026780753809e-28	2.48064756329819e-26	38	466	18	1.59949417396802	FALSE	0.0386266094420601	11.2535577140276
KEGG_TYPE_I_DIABETES_MELLITUS,..	FCGR2C	8.90882361106593e-28	3.78346602732456e-26	47	393	20	1.66841297082468	FALSE	0.0508905852417303	11.987439770451
KEGG_TYPE_I_DIABETES_MELLITUS,..	CLIC2	1.50742873782443e-27	6.33586284959814e-26	47	382	19	1.62171438894409	FALSE	0.049738219895288	11.7159964353347
KEGG_VIRAL_MYOCARDITIS	IL27RA	2.26387813162991e-27	9.41819504352567e-26	58	207	17	1.08445488212447	FALSE	0.0821256038647343	15.676078627353
KEGG_TYPE_I_DIABETES_MELLITUS,..	TRAC	2.97716372754955e-27	1.2260501532545e-25	47	274	17	1.16321922138921	FALSE	0.062043795620438	14.6146140705078
KEGG_CELL_ADHESION_MOLECULES_CAMS	TRAT1	3.47591691896051e-27	1.4171313278602e-25	95	214	23	1.83632914822509	FALSE	0.107476635514019	12.5249877029021
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	FYB	3.80258927121534e-27	1.53496598601435e-25	38	779	23	2.67383253545299	FALSE	0.0295250320924262	8.60188500776975
KEGG_PRIMARY_IMMUNODEFICIENCY	IGL	5.02992409025098e-27	2.01049024666208e-25	32	427	17	1.23421551802005	FALSE	0.0398126463700234	13.773931498829
KEGG_TYPE_I_DIABETES_MELLITUS,..	IL2RG	5.84000638774409e-27	2.31162194590608e-25	47	479	23	2.03351097461837	FALSE	0.0480167014613779	11.3104872740195
KEGG_TYPE_I_DIABETES_MELLITUS,..	CD8A	1.16882068847996e-26	4.58200187205076e-25	47	242	17	1.02736880137296	FALSE	0.0702479338842975	16.54712502198
KEGG_TYPE_I_DIABETES_MELLITUS,..	TRIM21	2.48786863400497e-26	9.51393915661401e-25	47	252	17	1.06982205762804	FALSE	0.0674603174603175	15.8904930766633
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	TFEC	2.4963783071207e-26	9.51393915661401e-25	38	410	17	1.40728028181736	FALSE	0.0414634146341463	12.0800385109114
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	AIM2	2.49691314632744e-26	9.51393915661401e-25	38	310	17	1.06404118869118	FALSE	0.0548387096774194	15.9768251273345
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	ITGB7	2.849063554366e-26	1.07552149177317e-24	38	355	17	1.21849878059796	TRUE	0.047887323943662	13.9515937731653
KEGG_PRIMARY_IMMUNODEFICIENCY	IGHM	3.39716209012806e-26	1.27066328820661e-24	32	440	17	1.27179116610966	FALSE	0.0386363636363636	13.3669744318182
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	AIF1	3.73970901587367e-26	1.38607215070154e-24	38	833	23	2.85918164574113	FALSE	0.0276110444177671	8.04425980918683
KEGG_TYPE_I_DIABETES_MELLITUS,..	OASL	4.33045225888569e-26	1.59056341076369e-24	47	302	17	1.28208833890344	FALSE	0.0562913907284768	13.2596167394674
KEGG_VIRAL_MYOCARDITIS	FCGR1B	4.57573577152282e-26	1.66564953040166e-24	58	216	17	1.13160509439075	FALSE	0.0787037037037037	15.0229086845466
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	SLAMF1	6.34133285966681e-26	2.28793044857182e-24	38	324	17	1.11209466172884	FALSE	0.0524691358024691	15.2864684860299
KEGG_VIRAL_MYOCARDITIS	CELF2	6.7033371566088e-26	2.39732505153457e-24	58	281	17	1.47213440520278	FALSE	0.0604982206405694	11.5478586329611
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	GZMA	7.30363396922839e-26	2.58929701674297e-24	38	367	17	1.2596874717731	FALSE	0.0463215258855586	13.4954108705005
KEGG_VIRAL_MYOCARDITIS	BTN3A1	8.16070553695115e-26	2.85232047081712e-24	58	325	22	1.70264655406016	FALSE	0.0676923076923077	12.9210610079576
KEGG_VIRAL_MYOCARDITIS	TRAC	8.18546713479525e-26	2.85232047081712e-24	58	274	17	1.43546201788456	FALSE	0.062043795620438	11.8428769192046
KEGG_VIRAL_MYOCARDITIS	FMNL1	9.62085960093438e-26	3.32408852483131e-24	58	234	17	1.22590551892331	FALSE	0.0726495726495727	13.8673003241969
KEGG_VIRAL_MYOCARDITIS	SLAMF1	1.05697269264274e-25	3.62124173773483e-24	58	324	21	1.69740764158613	FALSE	0.0648148148148148	12.3718071519796
KEGG_VIRAL_MYOCARDITIS	VCAM1	1.26324520243225e-25	4.29187557526356e-24	58	273	17	1.43022310541053	FALSE	0.0622710622710623	11.8862574207402
KEGG_VIRAL_MYOCARDITIS	CTSO	1.33207950003829e-25	4.48833729062489e-24	58	265	17	1.38831180561828	FALSE	0.0641509433962264	12.2450878334418
KEGG_VIRAL_MYOCARDITIS	CD37	1.39563304103159e-25	4.66072419168626e-24	58	569	23	2.98094119772378	FALSE	0.0404217926186292	7.71568389794558
KEGG_VIRAL_MYOCARDITIS	TRIM21	1.40610516452639e-25	4.66072419168626e-24	58	252	17	1.32020594345588	FALSE	0.0674603174603175	12.8767788724685
KEGG_VIRAL_MYOCARDITIS	GPR171	1.44890867035252e-25	4.763871491151e-24	58	238	17	1.24686116881944	FALSE	0.0714285714285714	13.634236453202
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	CCR1	1.53035104224645e-25	4.99139295939101e-24	38	735	22	2.52280733447746	FALSE	0.0299319727891156	8.72044396706051
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	CD3D	1.62119789081574e-25	5.24573317528235e-24	38	483	20	1.65784481979948	FALSE	0.041407867494824	12.0638552903999
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	INPP5D	1.93689226816351e-25	6.21788171441152e-24	38	331	17	1.13612139824767	FALSE	0.0513595166163142	14.9631896962951
KEGG_TYPE_I_DIABETES_MELLITUS,..	RHOH	2.08057066295165e-25	6.62694265066709e-24	47	339	17	1.43916538704724	FALSE	0.0501474926253687	11.8124019330948
KEGG_VIRAL_MYOCARDITIS	INPP5D	2.15112190712243e-25	6.79854574832413e-24	58	331	22	1.73408002890434	FALSE	0.0664652567975831	12.6868423794145
KEGG_VIRAL_MYOCARDITIS	KLRB1	2.39757063284767e-25	7.49021251006809e-24	58	228	17	1.19447204407913	FALSE	0.0745614035087719	14.2322292800968
KEGG_VIRAL_MYOCARDITIS	ITGA4	2.4067153270025e-25	7.49021251006809e-24	58	247	17	1.29401138108572	FALSE	0.0688259109311741	13.137442412397
KEGG_TYPE_I_DIABETES_MELLITUS,..	LOC391020	2.64307840321681e-25	8.16350806811736e-24	47	337	17	1.43067473579622	FALSE	0.0504451038575668	11.8825052086622
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	FCGR2B	3.10574067997153e-25	9.52037951296536e-24	38	424	17	1.45533375485503	FALSE	0.0400943396226415	11.6811693147964
KEGG_TYPE_I_DIABETES_MELLITUS,..	BCL3	3.24865323186857e-25	9.88414867636429e-24	47	340	17	1.44341071267275	FALSE	0.05	11.7776595744681
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	GPR171	3.42597806089617e-25	1.03464537439064e-23	38	238	17	0.816909041640322	FALSE	0.0714285714285714	20.8101503759399
KEGG_ASTHMA	CD86	4.50328798983091e-25	1.34076898467204e-23	25	718	17	1.62135308463553	FALSE	0.0236768802228412	10.485069637883
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	CD2	4.50540473142185e-25	1.34076898467204e-23	38	472	20	1.6200885195556	FALSE	0.0423728813559322	12.3450044603033
KEGG_VIRAL_MYOCARDITIS	DDX60	4.80012981135746e-25	1.41812530731191e-23	58	275	17	1.44070093035859	FALSE	0.0618181818181818	11.7998119122257
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	CCL18	6.53753623058258e-25	1.91752051885505e-23	38	315	17	1.08120314334748	FALSE	0.053968253968254	15.7232247284879
KEGG_VIRAL_MYOCARDITIS	ARHGEF6	6.66198261911847e-25	1.94006450986757e-23	58	274	17	1.43546201788456	FALSE	0.062043795620438	11.8428769192046
KEGG_TYPE_I_DIABETES_MELLITUS,..	CD83	8.40468393741471e-25	2.43020541935034e-23	47	367	17	1.55803450456147	FALSE	0.0463215258855586	10.9111832570004
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	IFI44	8.7317724355825e-25	2.50700255069506e-23	38	454	17	1.55830548279288	FALSE	0.0374449339207048	10.909285879898
KEGG_TYPE_I_DIABETES_MELLITUS,..	FCN1	8.98627183773957e-25	2.56203008968281e-23	47	366	17	1.55378917893596	FALSE	0.046448087431694	10.9409952331124
KEGG_VIRAL_MYOCARDITIS	APOE	9.6588539947437e-25	2.73466303726181e-23	58	294	17	1.54024026736519	FALSE	0.0578231292517007	11.0372390335445
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	BATF	1.07742389488024e-24	3.02941877201844e-23	103	253	22	2.35380724415139	FALSE	0.0869565217391304	9.34655972984382
KEGG_TYPE_I_DIABETES_MELLITUS,..	ITGAX	1.12261817945924e-24	3.13487282031187e-23	47	301	17	1.27784301327793	FALSE	0.0564784053156146	13.3036686223228
KEGG_TYPE_I_DIABETES_MELLITUS,..	IL15	1.5348202252106e-24	4.25677691032899e-23	47	491	22	2.08445488212447	FALSE	0.044806517311609	10.5543181522728
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	ALOX5	1.55152521742067e-24	4.27403264285409e-23	38	453	17	1.55487309186162	FALSE	0.0375275938189845	10.9333681886836
KEGG_VIRAL_MYOCARDITIS	SIGLEC1	2.07273152397406e-24	5.67149424378674e-23	58	288	17	1.508806792521	FALSE	0.0590277777777778	11.26718151341
KEGG_TYPE_I_DIABETES_MELLITUS,..	C1QB	2.12150628644413e-24	5.76625408655514e-23	47	372	18	1.57926113268901	FALSE	0.0483870967741935	11.3977350720659
KEGG_HEMATOPOIETIC_CELL_LINEAGE	GPR171	4.33569063634158e-24	1.17063647181223e-22	76	238	17	1.63381808328064	FALSE	0.0714285714285714	10.4050751879699
KEGG_VIRAL_MYOCARDITIS	LILRB2	4.94116495542187e-24	1.3253374686352e-22	58	509	22	2.66660644928191	FALSE	0.0432220039292731	8.25018630174108
