NODE	LABEL	COLOR	SIZE	SHAPE	SECTOR	URL	MODULE	KD_MODULE	KD_TOP_MODULE	KD_BORDER_COLOR	KD_subnetwork_shown	LABELSIZE
ADA	ADA	#FFD47F	100	Diamond	1:FFD47F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FFD47F	KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ADAM12	ADAM12	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADAM15	ADAM15	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADAM19	ADAM19	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADAM28	ADAM28	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADAM8	ADAM8	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADAMDEC1	ADAMDEC1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ADAP2	ADAP2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ADAR	ADAR	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ADCY3	ADCY3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADCY7	ADCY7	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ADD1	ADD1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADD3	ADD3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADGRA2	ADGRA2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADGRE1	ADGRE1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADGRE2	ADGRE2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_HEMATOPOIETIC_CELL_LINEAGE	#9FFF96	NO	20
ADGRE3	ADGRE3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADGRE5	ADGRE5	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
ADH1B	ADH1B	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADH1C	ADH1C	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADM	ADM	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ADORA2A	ADORA2A	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADORA3	ADORA3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADPGK	ADPGK	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ADRBK2	ADRBK2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AEBP1	AEBP1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AHNAK	AHNAK	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AHR	AHR	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AIF1	AIF1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
AIM1	AIM1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AIM2	AIM2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
AIP	AIP	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AKAP13	AKAP13	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
AKR1A1	AKR1A1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AKR1B1	AKR1B1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AKT3	AKT3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ALDH2	ALDH2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ALDH3B1	ALDH3B1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ALOX5	ALOX5	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
ALOX5AP	ALOX5AP	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_ASTHMA	#B2EAFF	NO	20
AMICA1	AMICA1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AMPD3	AMPD3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANKIB1	ANKIB1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANKRD12	ANKRD12	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANKRD22	ANKRD22	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANKRD44	ANKRD44	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANKRD55	ANKRD55	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANPEP	ANPEP	#9FFF96	100	Ellipse	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Not a KD	Not a KD	Not a KD	Not a KD	12
ANTXR2	ANTXR2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANXA1	ANXA1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	NO	20
ANXA11	ANXA11	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANXA2	ANXA2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANXA3	ANXA3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ANXA4	ANXA4	#cfcfcf	100	Diamond				KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	NO	20
ANXA5	ANXA5	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
AOAH	AOAH	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
AP1B1	AP1B1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AP1S2	AP1S2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
APAF1	APAF1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APBB1IP	APBB1IP	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APH1B	APH1B	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOA2	APOA2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOBEC3A	APOBEC3A	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOBEC3C	APOBEC3C	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOBEC3G	APOBEC3G	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOBR	APOBR	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOC1	APOC1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	NO	20
APOE	APOE	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
APOL1	APOL1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOL2	APOL2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOL3	APOL3	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
APOL4	APOL4	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
APOL6	APOL6	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
AQP3	AQP3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AQP9	AQP9	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ARAP1	ARAP1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ARAP2	ARAP2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ARHGAP15	ARHGAP15	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
ARHGAP25	ARHGAP25	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	#F6FF7F	NO	20
ARHGAP30	ARHGAP30	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ARHGAP4	ARHGAP4	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ARHGAP9	ARHGAP9	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ARHGDIB	ARHGDIB	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	NO	20
ARHGEF1	ARHGEF1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ARHGEF2	ARHGEF2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ARHGEF3	ARHGEF3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ARHGEF6	ARHGEF6	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ARL4C	ARL4C	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ARL6IP5	ARL6IP5	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ARPC1B	ARPC1B	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	#F6FF7F	NO	20
ARPC2	ARPC2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ARPC5	ARPC5	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ARRB2	ARRB2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ASAH1	ASAH1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ASAP1	ASAP1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ATF3	ATF3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ATF5	ATF5	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ATM	ATM	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ATOX1	ATOX1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ATP13A3	ATP13A3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ATP2A3	ATP2A3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ATP6V0E1	ATP6V0E1	#cfcfcf	100	Diamond				KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
ATP6V1B2	ATP6V1B2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ATP8A1	ATP8A1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
AXL	AXL	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
B2M	B2M	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_ASTHMA	#B2EAFF	NO	20
BAALC	BAALC	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BACH2	BACH2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BANK1	BANK1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BASP1	BASP1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BATF	BATF	#cfcfcf	200	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	YES	30
BATF2	BATF2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BATF3	BATF3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BAX	BAX	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BAZ1A	BAZ1A	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BCAT1	BCAT1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BCL11A	BCL11A	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BCL11B	BCL11B	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
BCL2	BCL2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
